trip_index,route_index,trip_headsign,direction_id
933,396,Sidliste Cimice,0
934,632,Cakovice,0
935,940,Kubanske namesti,0
936,221,Zelivskeho,1
937,630,Kbelsky pivovar,0
938,49,Kacerov,1
939,1156,Zlicin,1
940,934,Holyne,1
941,278,Na Beranku,0
942,101,Smichovske nadrazi,0
943,466,Chodov,0
944,225,Sporilov,1
945,536,Sidliste Lhotka,0
946,68,Sporilov,1
947,101,Smichovske nadrazi,0
948,465,Chodov,0
949,466,Chodov,0
950,278,Na Beranku,0
951,832,Smichovske nadrazi,1
952,977,Nadrazi Podbaba,1
953,698,Kacerov,1
954,535,Kavci hory,0
955,220,Komorany,0
956,7,Sidliste Dablice,0
957,500,Opatov,0
958,501,Opatov,0
