stop_index,stop_name
783,Na Proutcich
784,Divadlo Gong
785,Divadlo Gong
786,Kunratice
787,Kunratice
788,Kutnohorska
789,Kvasinska
790,Kvasinska
791,Kvasinska
792,Kvetnova
793,Kvetnova
794,Kyje
795,Kyje
796,Kyselova
797,Kyselova
798,Lahovice
799,Lahovice
800,Lahovicky most
801,Lahovicky
802,Lahovicky
803,Sidliste Jahodnice
804,Sidliste Jahodnice
805,Laurova
806,Laurova
807,Laurova
808,Laurova
809,Laurova
810,Laurova
811,Zentiva
812,Zentiva
813,Dejvicka
814,Dejvicka
815,Vitezne namesti
816,Vitezne namesti
817,Dejvicka
818,Dejvicka
819,Dejvicka
820,Dejvicka
821,Dejvicka
822,Vitezne namesti
823,Vitezne namesti
824,Dejvicka
825,Dejvicka
826,Lesanska
827,Lesanska
828,Lesanska
829,Sportovni centrum Kbely
830,Sportovni centrum Kbely
831,Letenske namesti
832,Letenske namesti
833,Rychnovska
834,Rychnovska
835,Stare Letnany
836,Stare Letnany
837,Touzimska
838,Touzimska
839,Lhotecky les
840,Lhotecky les
841,Lhotka
842,Lhotka
843,Libenska
844,Libenska
845,Libensky most
846,Libensky most
847,Strizkov
848,Strizkov
849,Strizkov
850,Strizkov
851,Strizkov
852,Strizkov
853,Libeznicka
854,Libeznicka
855,Libocka
856,Libocka
857,Libus
858,Libus
859,Nove namesti
860,Nove namesti
861,Nove namesti
862,Nove namesti
863,Lihovar
864,Lihovar
865,Lihovar
866,Lihovar
867,Lihovar
868,Jakobiho
869,Jakobiho
870,Lipanska
871,Lipanska
872,Lipany
873,Lipany
874,Skola Lipence
875,Skola Lipence
876,Lipnicka
877,Lipnicka
878,Lisek
879,Lisek
880,Litochlebske namesti
881,Litochlebske namesti
882,Litochlebske namesti
883,Litochlebske namesti
884,Katovicka
885,Katovicka
886,Lohenicka
887,Lohenicka
888,Lochkov
889,Lochkov
890,Multiarena Praha
891,Multiarena Praha
892,Lomnicka
893,Lomnicka
894,Lotysska
895,Lotysska
896,Lotysska
897,Lotysska
898,Poliklinika Prosek
899,Poliklinika Prosek
900,Lysolaje
901,Lysolaje
902,Lysolaje
903,Metodejova
904,Metodejova
905,Jana Masaryka
906,Jana Masaryka
907,Mala Chuchle
908,Mala Chuchle
909,Archeologicka
910,Archeologicka
911,Malesicka
912,Malesicka
913,Malesicka tovarna
914,Malesicka tovarna
915,Malesicka tovarna
916,Malesicka tovarna
917,Malesicke namesti
918,Malesicke namesti
919,Malesicke namesti
920,Malostranska
921,Malostranska
922,Malostranska
923,Malostranska
924,Malostranska
925,Malostranska
926,Malostranska
927,Malostranske namesti
928,Malostranske namesti
929,Malostranske namesti
930,Malostranske namesti
931,Malovanka
932,Malovanka
933,Malovanka
934,Malovanka
935,Malovanka
936,Malvazinky
937,Malvazinky
938,Malvazinky
939,Malvazinky
940,Maly Brevnov
941,Maly Brevnov
942,Maly Brevnov
943,Maly Brevnov
944,Maniny
945,Maniny
946,Marjanka
947,Marjanka
948,Prumstav
949,Prumstav
950,Obchodni centrum Cakovice
951,Obchodni centrum Cakovice
952,Obchodni centrum Cakovice
953,Sidliste Pisnice
954,Sidliste Pisnice
955,Sidliste Pisnice
956,Dolni Sarka
957,Dolni Sarka
958,Krakov
959,Krakov
960,Naskove
961,Naskove
962,Mezi Hrbitovy
963,Mezi Hrbitovy
964,Mezi Hrbitovy
965,Medenecka
966,Medenecka
967,Mechenicka
968,Mechenicka
969,Michelska
970,Michelska
971,Michelska
972,Michelska
973,U Labute
974,U Labute
975,Ustavy Akademie ved
976,Ustavy Akademie ved
977,Mikulova
978,Mikulova
979,Maskuv mlyn
980,Maskuv mlyn
981,Mokra
982,Mokra
983,Kreslice
984,Kreslice
985,Reinerova
986,Reinerova
987,Miskovice
988,Miskovice
989,Miskovice
990,Pankrac
991,Pankrac
992,Pankrac
993,Pankrac
994,Pankrac
995,Pankrac
996,Pankrac
997,Pankrac
998,Modra skola
999,Modra skola
1000,Modra skola
1001,Pobrezni cesta
1002,Pobrezni cesta
1003,Pobrezni cesta
1004,Pobrezni cesta
1005,Nadrazi Modrany
1006,Nadrazi Modrany
1007,Nadrazi Modrany
1008,Nadrazi Modrany
1009,Prumyslova
1010,Prumyslova
1011,Vrsovicke namesti
1012,Vrsovicke namesti
1013,Most Zavodu miru
1014,Most Zavodu miru
1015,Motol
1016,Motol
1017,Motol
1018,Motol
1019,Krematorium Motol
1020,Krematorium Motol
1021,Krematorium Motol
1022,Krematorium Motol
1023,U Waltrovky
1024,U Waltrovky
1025,U Waltrovky
1026,U Waltrovky
1027,V Sedlci
1028,V Sedlci
1029,Murmanska
1030,Murmanska
1031,Radonicka
1032,Radonicka
1033,Muzeum
1034,Muzeum
1035,Muzeum
1036,Muzeum
1037,Muzeum
1038,Muzeum
1039,Muzeum
1040,Muzeum
1041,Myslikova
1042,Myslikova
1043,Na Blanici
1044,Na Blanici
1045,Na Grosi
1046,Na Grosi
1047,Na Grosi
1048,Na Grosi
1049,Na Homoli
1050,Na Homoli
1051,Na Homoli
1052,Na Homoli
1053,Vystaviste Letnany
1054,Vystaviste Letnany
1055,Na Hrebenech
1056,Na Hrebenech
1057,Libosovicka
1058,Libosovicka
1059,Trebesovska
1060,Trebesovska
1061,Na Kosiku
1062,Na Kosiku
1063,Do Rybnicku
1064,Na Pramenech
1065,Na Pramenech
1066,Na Lysinach
1067,Na Lysinach
1068,Na Micankach
1069,Na Micankach
1070,Na Mlynku
1071,Na Mlynku
1072,Pod Dalnici
1073,Pod Dalnici
1074,Na Padesatniku
1075,Na Padesatniku
1076,Nad Pahorkem
1077,Na Palouku
1078,Na Palouku
1079,Na Parcelach
1080,Na Parcelach
1081,Na Pastvinach
1082,Na Pastvinach
1083,Jemnicka
1084,Jemnicka
1085,Chodovska tvrz
1086,Chodovska tvrz
1087,Na Santince
1088,Na Santince
1089,Na Sklonku
1090,Na Sklonku
1091,Na Smetance
1092,Na Smetance
1093,Na Srpecku
1094,Na Srpecku
1095,Na Strzi
1096,Na Strzi
1097,Na Strzi
1098,Na Strzi
1099,Na Stamberku
1100,Na Stamberku
1101,Pekarenska
1102,Na Vanhove
1103,Na Vanhove
1104,Na Veseli
1105,Na Veseli
1106,Na Veseli
1107,Na Veseli
1108,Na Vinickach
1109,Na Vrchach
1110,Na Vrchach
1111,Na Vrchach
1112,Na Vrchach
1113,Na Vrstevnici
1114,Na Vrstevnici
1115,Slavinskeho
1116,Slavinskeho
1117,Slavinskeho
1118,Krahulci
1119,Krahulci
1120,Nabrezi Kapitana Jarose
1121,Nad Habrovkou
1122,Nad Habrovkou
1123,Nad Havlem
1124,Nad Havlem
1125,Nad Jetelkou
1126,Nad Jetelkou
1127,Nad Klamovkou
1128,Nad Klamovkou
1129,Safranecka
1130,Safranecka
1131,Nad Parkanem
1132,Nad Parkanem
1133,Hasova
1134,Hasova
1135,Nad Trojou
1136,Nad Trojou
1137,Nadrazi Bechovice
1138,Nadrazi Bechovice
1139,Nadrazi Branik
1140,Nadrazi Branik
1141,Nadrazi Branik
1142,Nadrazi Branik
1143,Nadrazi Branik
1144,Nadrazi Branik
1145,Nadrazi Branik
1146,Nadrazi Branik
1147,Nadrazi Branik
1148,Goetheho
1149,Za Avii
1150,Za Avii
1151,Nadrazi Horni Pocernice
1152,Nadrazi Horni Pocernice
1153,Nadrazi Horni Pocernice
1154,Nadrazi Hostivar
1155,Nadrazi Hostivar
1156,Nadrazi Hostivar
1157,Nadrazi Hostivar
1158,Nadrazi Hostivar
1159,Nadrazi Hostivar
1160,Nadrazi Hostivar
1161,Nadrazi Hostivar
1162,Nadrazi Hostivar
1163,Nadrazi Klanovice
1164,Nadrazi Klanovice
1165,Nadrazi Klanovice-sever
1166,Nadrazi Klanovice-sever
1167,U Rozcesti
1168,U Rozcesti
1169,Nadrazi Radotin
1170,Nadrazi Radotin
1171,Nadrazi Radotin
1172,Nadrazi Radotin
1173,Nadrazi Radotin
1174,Nadrazi Satalice
1175,Nadrazi Satalice
1176,Smichovske nadrazi
1177,Smichovske nadrazi
1178,Smichovske nadrazi
1179,Smichovske nadrazi
1180,Smichovske nadrazi
